fecha,titulo,autor(a),categoria,enlace
2023-03-08,Animales del zoológico de Mayagüez y Cambalache ya comenzaron a ser trasladados,Cybernews,Noticias,https://www.metro.pr/noticias/2023/03/08/animales-del-zoologico-de-mayaguez-y-cambalache-ya-comenzaron-a-ser-trasladados/
2023-03-08,Representantes del PNP piden a Joe Biden que impida reducción de fondos a Planes Advantage,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/representantes-del-pnp-piden-a-joe-biden-que-impida-reduccion-de-fondos-a-planes-advantage/
2023-03-08,Aún sin nombrar director ejecutivo Genera PR, Agustin Criollo,Noticias,https://www.metro.pr/noticias/2023/03/08/aun-sin-nombrar-director-ejecutivo-genera-pr/
2023-03-08,Fianza $5 mil contra hombre por agredir a su padre y dejarlo inconsciente en Cidra,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/fianza-5-mil-contra-hombre-por-agredir-a-su-padre-y-dejarlo-inconsciente-en-cidra/
2023-03-08,Arrestan a hombre tras posesión de arma y drogas en Bayamón ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/arrestan-a-hombre-tras-posesion-de-arma-y-drogas-en-bayamon/
2023-03-08,Powell: La Fed no ha tomado una decisión sobre las tasas,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/powell-la-fed-no-ha-tomado-una-decision-sobre-las-tasas/
2023-03-08,Encuentran cuerpo de boxeador que había desaparecido hace tres meses ,Publimetro México,Noticias,https://www.metro.pr/noticias/2023/03/08/encuentran-cuerpo-de-boxeador-que-habia-desaparecido-hace-tres-meses/
2023-03-08,Soldados testifican sobre impacto del colapso de Afganistán,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/soldados-testifican-sobre-impacto-del-colapso-de-afganistan/
2023-03-08,Fuerzas palestinas dispersan procesión fúnebre en Nablus,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/fuerzas-palestinas-dispersan-procesion-funebre-en-nablus/
2023-03-08,Alcaldesa de Gurabo traza plan contra la criminalidad ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/alcaldesa-de-gurabo-traza-plan-contra-la-criminalidad/
2023-03-08,Persiste resistencia a promoción de mujeres en el Vaticano,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/persiste-resistencia-a-promocion-de-mujeres-en-el-vaticano/
2023-03-08,La AAA ya tiene encaminado el dragado del embalse Carraízo,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/la-aaa-ya-tiene-encaminado-el-dragado-del-embalse-carraizo/
2023-03-08,Proyecto busca que mujeres que aborten o personas que las asistan en el proceso cumplan pena de cárcel ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/proyecto-busca-que-mujeres-que-aborten-o-personas-que-las-asistan-en-el-proceso-cumplan-pena-de-carcel/
2023-03-08,Manejo de Emergencias comienza a adiestrar municipios de cara a la temporada de huracanes ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/manejo-de-emergencias-comienza-a-adiestrar-municipios-de-cara-a-la-temporada-de-huracanes/
2023-03-08,Arrestan a tres integrantes de ganga que se dedica a cometer “carjackings”,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/09/arrestan-a-tres-integrantes-de-ganga-que-se-dedica-a-cometer-carjackings/
2023-03-08,Insisten en que le den oportunidad al destituido obispo de Arecibo a defenderse,Cybernews,Noticias,https://www.metro.pr/noticias/2023/03/09/insisten-en-que-le-den-oportunidad-al-destituido-obispo-de-arecibo-a-defenderse/
2023-03-08,Radican cargos contra padrastro por maltrato contra menor de 8 años,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/09/radican-cargos-contra-padrastro-por-maltrato-contra-menor-de-8-anos/
2023-03-08,Repudian decisión emitida por la Jueza Taylor Swain de anular enmiendas de la Reforma Laboral, Nilda Núñez Lamboy,Noticias,https://www.metro.pr/noticias/2023/03/08/repudian-decision-emitida-por-la-jueza-taylor-swain-de-anular-enmiendas-de-la-reforma-laboral/
2023-03-08,Reportan accidente de carácter grave en Mayagüez,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/reportan-accidente-de-caracter-grave-en-mayaguez/
2023-03-08,Se manifiesta la Colectiva Feminicista en la Milla de Oro ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/se-manifiesta-la-colectiva-feminicista-en-la-milla-de-oro/
2023-03-08,Agentes federales diligencian varios arrestos en residencial Juana Matos,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/agentes-federales-diligencian-varios-arrestos-en-residencial-juana-matos/
2023-03-08,Accidente con auto volcado en carril reversible del expreso PR-52 ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/accidente-con-auto-volcado-en-carril-reversible-del-expreso-pr-52/
2023-03-08,Reabren carretera PR-2 en Bayamón tras accidente entre un camión y un auto,Cybernews,Noticias,https://www.metro.pr/noticias/2023/03/08/reabren-carretera-pr-2-en-bayamon-tras-accidente-entre-un-camion-y-un-auto/
2023-03-08,Joven de 20 años cae por una pendiente frente a su casa en Juncos,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/joven-de-20-anos-cae-por-una-pendiente-frente-a-su-casa-en-juncos/
2023-03-08,Sector privado organiza Comité de Gastos Independientes de cara a 2024, Agustin Criollo,Noticias,https://www.metro.pr/noticias/2023/03/08/sector-privado-organiza-comite-de-gastos-independientes-de-cara-a-2024/
2023-03-08,Arrestan a sexagenario acusado de Ley 54 en Morovis,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/arrestan-a-sexagenario-acusado-de-ley-54-en-morovis/
2023-03-08,Estados Unidos confirma que existe un patrón de abusos policiales,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/eeuu-halla-patron-de-abusos-policiales-en-louisville/
2023-03-08,Senadora lucha contra el “tabú” de la menstruación ,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/senadora-lucha-contra-el-tabu-de-la-menstruacion/
